tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product
temporary apple store def tent powerhouse gym sxsw link,apple,2
temporary apple store th congress sxsw along happy hipster,apple,2
mention apple win sxsw link opening temporary store downtown austin support ipad launch good,apple,2
ipad austin trending today fun sxsw nerdy nerd,ipad,2
headed austin sxsw check map newbie link mention mention mention mention enjoy,,1
funny austin trending sxsw matter minute point least according twitter iphone,,1
christian ipad iphone devs want talk u sxsw maybe wk together cool app mention,ipad iphone app,2
sxsw ux ipad uxdes remember ultimately aware audience app targeted towards unexpected experience good,,1
apple ipad taken sxsw austin storm link mention excited part mobile,ipad,2
haz ipad ifrom sxsw gr link,ipad,2
stack ipads waiting bought sxsw got mine hassle apple handled perfectly link,ipad,2
google mobile future elusive power link via mention eurorscg sxsw sxswi,,1
notatsxsw sxsw here link free download meet nearby pep,,1
smallbiz need review play google placeswe got app thatlink seo sxsw,,1
samsung sony follow apple hp lead mention link austin atx sxsw,,1
samsung sony follow apple hp lead mention link austin atx sxsw via mention rg,,1
take sxsw rt mention major south korean director get make movie entirely iphone link,iphone,2
beautiful sxsw mention apple store sxsw pic link,apple,2
q sxsw sxswi prep amazing pre push locally focus location based google owns region billboard prchat,,1
sxsw account need follow apps download iphone,,1
headed sxsw want sharegather contact info link turn iphone business card broadcaster,,1
headed sxsw want sharegather contact info link turn iphone link,,1
btw sxsw apple store sold g model vzw amp atampt,,1
must sxsw app rt mention lovely review forbes sxsw ipad app holler gram link,ipad iphone app,2
temporary sxsw apple store apple sneaky usual link,apple,2
anyone sxsw popup apple store austin thats got ta hopping place today,,1
mention sxsw beta testing interactive book ipad app moonbot studio louisiana cool app,ipad iphone app,2
apple sxsw day one seeing ton ipad,ipad,2
fastball sxsw giving away two new ipad wifi g black apple cover tweet mention fo info sxswi attsxsw tonight mention bolt house,,1
anyone sxsw chance check popup apple store wondering worth trek convention center,,1
mention sxsw ipad store sold everything except gig wifi white mention manage get,ipad,2
mention sxsw ipad store sold everything except gig wifi white also known white jean configuration,ipad,2
offered sxsw ipad promo ninjafinder user fan sxsw suck sxsw,ipad,2
mention sxsw austin conference google search interactive music film,,1
anyone sxsw know apple selling ipad,,1
anyone sxsw know apple store new shipment ipads yet,,1
marc ecko sxsw launch iphone app autodial political change link edreform edtech eduvc fightthepaddle,,1
poursite sxsw learning lifechanging impact ipad real people actual life bravo,ipad,2
free sxsw mp downloads time itunes link,,1
anyone sxsw heading aclu event seen owt google circle,,1
mention sxsw prompt memory go google map describe childhood walk,,1
apple sxsw store still ipad short line,ipad,2
essential sxsw tool link,,1
left sxsw tradeshow demo mention google theatre ok get see presenter using,google product service,2
following sxsw tweet google realtime four platform tweet deck listening panel realizing im spoken one today,,1
anyone sxsw want ipad im line pick one someone willing pay grab,,1
anyone sxsw want make quick hundred dollar new ipad ad hoc apple store get hundred plus cost,ipad,2
solving sxswinduced iphoneintoilet crisis apple store mention crisis,,1
monday sxsw barry diller new york time congress lunch w hotel party google party six dirty martini monday,google,2
attending sxsw austin guide mention free download itunes link lp,,1
seriously sxsw testing mobile apps constant ipad crash causing lost schedule sync wp,ipad iphone app,0
ready sxsw iphone apps make ur blogging easier link sxsw sxswi,ipad iphone app,2
ipad sxswa conflagration doofusness link,ipad,0
attention sxswers link rumored popup temporary apple store sxsw ipad launch need,apple,2
went sxswi lousy ipad sxsw link,ipad,2
hey sxsw sxswi folk want learn security come bsidesaustin link,,1
attending sxswi work iphone ipad game development looking hire austinbased io developer im man let talk sxsw,,1
winning picture android google sxsw link,android,2
gsdampm google rt mention whats best party hit tonight sxsw mention mention,,1
gsdampm google industry party sxsw mention great meet link,,1
spent come sxsw youve already used ipad wait couple city block ipad sxsw link,ipad,0
sxsw day marissa mayer google connect digital amp physical world mobile link,,1
behind email give line iphone composed reply sxsw protip,iphone,2
like pm night line around block popup apple store selling ipads sxsw,ipad,2
mention free song sxsw year alone link,,1
million mobile user google map mobile sxsw,,1
currently people line quotpop apple storequot sxsw,,1
ipad available sxsw gb wifionly model plus optional leather smart cover,,1
love entertain youplease dont grateful link edchat musedchat sxsw sxswi classical newtwitter,,1
less hour announce detail ipad giveaway sxsw sxswi,,1
im ipad seen wild people say fast still pic terrible sxsw,ipad,0
ipad queue sxsw course,,1
ipad take sxsw video mention link,ipad,2
many ipad snapping away keynote slide sxsw,ipad,2
apple user credit card syncd itunes one click purchase winning sxsw,,1
nd cocktail quottexas snowflakequot mention google cnngrill sxsw,,1
new post iphone apps well using south southwest interactive link sxsw sxswi,ipad iphone app,2
new post iphone apps well using south southwest interactive sxsw sxswi link,,1
sweet new google map demo going ballroom sxsw,google product service,2
million mile per day driving google map navigation sxsw,google product service,2
rt pm ipad line apple store longer wider people one hour sxsw,,1
u smart packing extra rt mention way sunny austin sxsw extra iphone stow case mention mention,,1
wonder sqwill attempt block gowalla crosscheckins way facebook blocked google contact connection sxsw lbswars,,1
sxsw day apple store there still lineand growing link,apple,2
check step bulletproof ux strategy sxsw link sxsw rhjrux link,,1
wandering th street girl stopped ceviche mojitos apple juice amp ice cream sxsw,,1
youre band sxsw want share track audience stage use frostwire android there wifi available,android app,2
weve got busy week ahead new book google apps available amazon amp attending sxsw,,1
believe went aussie sxsw rt mention ipad sold went new buyer report link,,1
mention google spreadsheet party sxsw year oo link mention plan going sxsw party,,1
guy line apple popup store sixth street austin quotim guyquot told sxsw,,1
u iphone dont need caruse zimride etc share ride sxsw shareable,ipad iphone app,2
ive seen lot tablet every single one ipad sxsw,,1
receiving lot mention message telling im sexy response post looking meet fellow christian iphone devs sxsw,,1
picked mophie battery case iphone prep sxsw lugging around laptop amp using phone huge win last year,iphone,2
thats news p rtmention google launch major new social network called circle possibly today link sxsw,,1
took piss trade show ipad one hand iphone pissing kiiiiiilling right sxsw,,1
rumor monger good read google circle preview mention sxsw link mention via mention socbiz fb,google product service,2
hobo shotgun iphone game link sxsw,,1
hobo shotgun video game coming ipadiphone user yes please link sxsw,ipad iphone app,2
build store less hour one biggest launch company history got apple sxsw ipad,apple,2
took survey iphone starbucks line got free starbucks gift card instant research instant gratification sxsw gsdm,,1
apple temporary retail store austin ipad release today open pm sxsw sxswi ipad,,1
read groupme sxswsounds like incredible app available android phone yet,ipad iphone app,2
wondering circle gt google reveal new social network sxsw link,,1
google search local marissa mayer sxsw,,1
wondering street closure sxsw made google map show link sxsw austin,,1
google another go social quotgoogle circlesquot sxsw google,,1
question whats inside ipad fire way sxsw,,1
paraormal activity sanctuary iphone game sketching ar experience interactivity quotmagic lensequot eduar sxsw,,1
apple iie ad si swimsuit issue garage sale sxsw link,,1
flipboard add instagram photo social search apps link apple socialsearch sxsw,,1
spent aftrnoon frozen lake photographing brother scott amp mention team catch sxsw th weeknd link,,1
iphone alarm botch timechange many sxswers freak late flight missed panel behind bloody mary,iphone,0
shout lady holding ipad free sxsw show take photo sipping free beer cc mention,ipad,2
dj hoodie allen due respect probably make way back google sxsw,,1
meant also wish sxsw dyac stupid iphone,iphone,0
audioboo american dream bust link ipad sxsw bum begger u socialart documentally,,1
skifta appbased medium shifting service turn android phone sxsw mashable sxswi link,,1
rumor apple store opening sxsw th amp congress sign point yes link,apple,2
apple security guy lock store sxsw link,,1
apple security guy lock store sxsw realtime sxsw link curated mention,,1
got ipad sxsw link cc mention,,1
picked ipad sxsw pop apple store minute wait,ipad,2
brilliant enlightening game mechanic presentation mention google sxsw,google,2
gsdampm googlesitting tree link sxsw gsdm,,1
mention here pic winning ipad unsix sxsw cc mention mention link cont link,,1
iphone thirsty sxsw mention chevy volt lounge w others link,,1
iphone thirsty sxsw mention chevy volt lounge w others link link,,1
came left sxsw iphone playing song chosen random skreams listening record wall appropriate,,1
marketing sale genius link apple sxsw,apple,2
arduino android flaming skull link refrigerator speaks salon k pm mention mention sxsw smartthings,,1
reminder android chrome tt talk mention pm today link sxsw,,1
ipad v android v world panel sxsw today pm mention link,,1
backupify announces cloudsight search first searchable archive solution social medium google apps sxsw sxswi link,,1
google announcing social network quotcirclesquot via sxsw tweet interesting myopia cause buzz joke interesting,,1
need sxsw ipad iphone laptop dictaphone vidcamera wow love meet real cerebellum charged people,iphone,2
u see anything google circle sxsw mention mention,,1
sxsw app iphone ridiculous personal planner next day,ipad iphone app,2
sxsw app android huge prop mention mention mention amp mention get link,,1
found app kyping iphones geolocation amp releasing background need patch mention batterykiller sxsw,ipad iphone app,0
sxsw app iphone live rsvp event phone amp check sundayswaggereventbritecom scoremore,ipad iphone app,2
iphone app screen sxsw missing link,,1
love app awesome rt mention must see android app sxsw quotbizzyquot link,android app,2
sxsw apple quotpopupquot store nut still packed link,apple,1
say apple sxsw popup store austin link mention mention,,1
breaking apple announces partnership wporn industry new ipad video chat app called quotofacetimequot sxsw,,1
course apple built temp store austin texas understand concept corralling cattle sxsw pickmeupanipad,apple,0
love apple didnt let something like retail store near sxsw keep away opening popup store link,apple,2
surprise apple opened popup store austin nerd town sxsw get new link cnet,apple,2
surprise apple opened popup store austin nerd town sxsw get new ipads link cnet,ipad,2
surprise apple opened popup store austin nerd town sxsw get new ipads http link,,1
surprise apple opened popup store austin nerd town sxsw get new ipads link,apple,2
technews apple head sxsw set temporary store austin link technews apple ipad rancewilemon sxsw tech,,1
mention apple great example retail store layed future register checkout line sxsw,apple,2
mention apple opening temporary store downtown austin sxsw ipad launch link gswsxsw,apple,2
mention apple opening temporary store downtown austin sxsw ipad launchquot oh yay traffic,apple,0
technews apple opening popup store austin sxsw link technews americanstatesman apple appleapple sxsw tech,,1
technews apple opening popup store austin sxsw geekfest apple link technews apple brianlam ipad sxsw tech,,1
sxsw apple popup store open noon fresh shipment ipad im pretty sure im going get one finger crossed,ipad,2
technews apple save sxsw set open popup store link technews apple sxsw tech,apple,2
sxsw apple school marketing expert link,,1
sxsw apple school marketing expert link,apple,2
sxsw apple school marketing expert link via mention,apple,2
sxsw apple school marketing expert link via mention ltlt true love loathe one marketing like,apple,2
sxsw apple school marketing expert cnet link,apple,2
sxsw apple school marketing expert cnet blog link austin atx retail,apple,2
mention apple store downtown austin open til midnight sxsw mention there still time,apple,2
mention apple store downtown austin open til midnight sxsw ipad left stock,,1
mention apple store congress link sxsw austin,,1
quotthe apple store mall sunday x crowded line fake need fucking donglequot genius let sxsw,apple,0
wks apple store th austin street opened sxsw,,1
special apple store opening th congress sxsw amp ipad launch wwwapplecomretailthedomain apple ipad sxsw fb,,1
makeshift apple store th congress youre kidding amazing sxsw apple,apple,2
temporary apple store sxsw huge line link,,1
temporary apple store sxsw really coolas ipad apple sxsw fanboy,ipad,2
temporary apple store set sxsw shit temptation going control,apple,2
temporary apple store sxsw line go around block link,,1
temporary apple store open mention th amp congress tomorrow ipad sxsw,,1
temporary apple store open pm th congress line already growing ipad viewio link via mention sxsw,apple,2
temporary apple store block office cant wait see line tomorrow photo come sxsw ipad,apple,2
sxsw apple store open noon day close run ipads didnt buy stock year ago,,1
base camp apple sxsw link,,1
ipad news apps last year sxsw link,ipad iphone app,0
iphone apps youll probably need use sxsw link,ipad iphone app,2
million mobile google map user mention sxsw,google product service,2
line already forming apple popup store austin arent people see festival link sxsw,,1
android rt mention new mobile apps ill using atsxsw link,android app,2
sxsw attending sxsw report see android phone get bannka app,,1
ipad apps like software development release start working update sxsw,ipad iphone app,2
tweet stalled data sluggish come atampt verizon embarrassing iphone customer havent switched sxsw iphone,,1
tweeting google coming circle platform today outside circle keep itsnot sxsw,,1
mention stupid find sxsw mac link special price game mac,,1
slate see much traffic mobile safari app ipad sxsw electricnews,,1
unloading apple store corner th congress austin temp store sxsw link,,1
great day sxsw jaloux mention amp new ipadlook school bus st day school link,,1
arrived sxsw mention issue hasnt resolved dying use iphone app cant login rtmention mention,ipad iphone app,1
sxsw screenburn mention launch client new iphone game travellerarlaunch find link,,1
anyone sxsw want see demo piccraft ipad find,,1
sxsw could spend mention teaching theater alone look schedule link,,1
youre sxsw meet u fado give wristband magically lead beer come say hi link,,1
youre sxsw want ipad apple setting temporary store check link,,1
overheard sxsw quotthe ipad relaxing computerquot agreed ipad apple,ipad,2
overheard sxsw interactive quotarg hate iphone want blackberry backquot shocked,iphone,0
youre sxsw meet author host android devs sat pm hilton room ab,,1
mention sxsw quotapple come cool technology one ever heard dont go conferencesquot,apple,0
sxsw apple set squarefoot temporary store sxsw sell new ipads test potential traffic link,,1
overheard sxsw quotgoogle doesnt launch product people eventsquot,,1
nerd bait sxsw apple set open popup shop core sxsw action link,,1
long line sxsw else apple store link,,1
last year sxswi everbody talking ipad year social medium driven revolution year better sxsw,ipad,2
long line apple pop store ipad great marketing apple sxsw,apple,2
mention google people work people rather people work agileagency sxsw,google,2
knackered home playing ipad updating iphone timeline smashed partytweets cant make go bed sxsw,ipad,2
overheard mdw ill second quothalfway iphone battery already havent even boarded plane sxswquot amateurhour,iphone,0
technews sxsw apple school marketing expert link technews apple jobsco sxsw tech,apple,2
huge line apple store austin sxsw crowd tripping get new ipad,ipad,2
ur google aclu partyu sxsw,google,2
queue apple popup store sxsw link,,1
posted dmi house intimate stranger stage got restaurant crowd sitting deal wif sxsw link,,1
woman google talk sounded like chelsea handler lol sxsw,,1
laughed ipad spent week hauling macbook everywhere really want ipad shoulder rub sxsw,ipad,2
sxsw attendee need qr code reader iphone tweet u image badge first get optiscan free,ipad iphone app,2
hey sxsw attendeesyou hop line apple store four day til new ipad come,ipad,2
anyone attending google amp aclu party mention sxsw could plz picture thanks sxsw,,1
march austin tx people line sxsw registration apple store,,1
landed austin spotted google place ad sxsw airport quotthe ultimate austin pocket guidequot like yelp itouru,,1
took away lego pit replaced recharging station sxsw might check price iphone crap samsung android,android,0
mention awesome meet mention mention mention standing apple queue sxsw yesterday day ltlt cute,,1
mention bad apple show late q process poopoos idea leaf early even quotim creativequot busy gamestorming sxsw,apple,0
mention bahrain govt turned google earth result people learned govt turn back sxsw,,1
trying balance power power need iphone v ipad sxsw g ipad suck quick might go airplane mode,ipad,0
racing ballroom see mention marissa mayer sxsw sxswi,,1
iphone battery winning sxsw,iphone,2
iphone battery cant keep tweet thanks apple sxsw precommerce,iphone,0
another google wave rt mention interrupt regularly scheduled sxsw geek programming wbig google news link,,1
fun watch ipadmadness rt mention apple opening popup store austin sxsw link sxsw,apple,2
control apple set open popup shop core sxsw action link via mention cc mention,apple,2
yeah ill sure gtrt mention mention mention check link sxsw google,,1
celebrate beauty web mention msft ie launch amp play new html game win ipad link sxsw,ipad,2
texas amazing ive met many influential people work twitter foursquare microsoft even apple sxsw winning,,1
woke iphone finished recharging mean got enough sleep last night right sxsw,,1
quiet storm sxsw looking forward seeing google marissa mayer,,1
company believing nfc google nexus nokia also carrier verifone even apple seems sxsw sxswnfc,,1
mention best thing ive heard weekend sxsw quoti gave ipad money japan relief dont need ipad quot mention,ipad,0
ipad betterthey time improve sxsw,ipad,2
cu pacman google singularity sxsw noobs meetup,,1
link go beyond earth hour year sharing positive action world download earthhour iphone app sxsw,ipad iphone app,2
far biggest sxsw mistake bringing iphoneipad charger,,1
google v bing bettersearch bing shot success w structured search potentially higher margin cpa model v google sxsw,google,0
course bing result good google seo sxsw qagb,google,2
mention black white ipad sxsw ipad question,,1
hootsuite blog social medium dashboard hootsuite mobile sxsw update iphone blackberry amp android link,,1
hootsuite blog social medium dashboard hootsuite mobile sxsw update iphone blackberry amp android link,,1
hoot new blog post hootsuite mobile sxsw update iphone blackberry amp android link,,1
anyone bringing ipad v computer sxsw,,1
impulsive buy friend sxsw gt one selling st gen gb g ipad,ipad,2
mention buying new ipads mention geekdate apple sxsw ipad,ipad,2
someone buying present rt mention apple opening popup store austin sxsw link,apple,2
nice find rsqs mention link sxsw ipad app,ipad iphone app,2
south southwest panel illustrated pic sometimes best link news ogilvy sxsw trending cyber iphone,,1
google calendar saturday night giant overlap sxsw party,,1
anyone make cooler rt mention mention launch quotgroupon living socialtypequot reward sxsw link,,1
exciting cant wait rt mention apple opening temporary store downtown austin sxsw amp ipad launch link,apple,2
great certain meeting rt mention hello holler gram new ipad app link hollergram sxsw,ipad iphone app,2
dont miss charles chen androidchromeos access sxsw mention google booth exhibit hall mention pm sxsw,google,2
reminder charles chen talking android chromeos access today mention pm mention google booth exhibit hall sxsw,,1
tomorrow charles chen speaking android chromeos access mention google booth exhibit hall mention pm sxsw,,1
group chat apps sxsw told dl two apps yet avail android point ill need phone apps,,1
remember chime tweet nasatweetup experience pm pm central time sxsw session link,,1
daily chord tuesday march hacker discover google music servicestory rollin link sxsw music news,,1
daily chord tuesday march hacker discover google music servicestory rolling stone mo link sxsw,,1
google circle austin sxsw link,,1
google circle sxsw link ht mention maybe theyre reconsidering shape,,1
google circle buzz corner rounded might find today link sxsw google,,1
google circle rt mention launching product sxsw plenty else,,1
austin classic missed sxsw mblogcom twitter iphone pm,,1
tool collaboration across boundary google webex dropbox whiteboarding basecamp joinme ipad sxsw evolvingworkplace,,1
trying collaborate sxsw event friend google calendar plancast,,1
sxsw come hear speak min designing ipad interface new navigation schema ballrm uxdes mention,,1
ipad coming sxsw guess apple pretty desperate give attention,apple,0
youre coming sxsw sure download sxsw go app schedule location event link,ipad iphone app,2
seriously considering leaving macbook pro home flying solo ipad week think make work sxsw,ipad,2
among coolgoofy thing ive spied sxsw today ipad case made look like etchnsketch grown game tug war,,1
wish could mention mention mention party sxsw instead homework tomorrow,,1
could find mention sxsw he probably fiting ipad,,1
check coyne pr update sxsw link via mention,,1
crazy look around sxsw realize last year one ipad sxsw,,1
crazy big crowd sxsw mention apple store sxsw link,,1
u read articlegoogle say rumor mention launch major new social network called circleslink sxsw,,1
sxsw dl mention iphone amp come uj booth acc hall snap pic amp send em u fightthepaddle link,,1
day im tired hold ipad week death happy death sxsw,,1
beautiful day austin come grab slice two check google get deal sxswi sxsw,,1
four day ipad sxsw weekend battlela,ipad,2
iphone dead find secret batphone sxsw,iphone,0
google debut new selective social network today sxsw mention link google circle,,1
trying decide session attend sxsw marissa meyer mention later today given,,1
excellent deck rt mention nth time lucky google new social network launch maybe link sxsw,,1
quotthe default state user leisurely contemplativequot mention ipad sxsw,,1
mobile definitely hot topic year every session standing room next lesson learnt building netflix iphone app sxsw,,1
apple deliberately chose march ipad availability knowing large chunk customer base sxsw,,1
google tv demo league extraordinary hacker cool stuff like web apps tv google sxsw lxh,google product service,2
best ipad design big chunky element generous space clarity trump density tap quality trump tap quantity tapworthy sxsw,ipad,2
attending designing ipad interface new navigation schema w mention great stuff far sxsw,ipad,2
attending designing ipad interface new navigation schema akqas lynn teo ballroom yes hiring sxsw,,1
check designing android sxsw link sxsw uxamandroid,,1
check designing ipad interface new navigation schema sxsw uxdes,,1
check designing ipad interface new navigation schema sxsw link sxsw uxdes,,1
headed designing ipad interface new navigation schema sxsw link sxsw uxdes,,1
taking designing ipad interface new navigation schema sxsw link sxsw uxdes,,1
adobe developed engine essentially convert swf file jqueryhtml existing flash file portable ipad sxsw,,1
im developer awesome name event rt mention join league extraordinary hckers sxsw link,,1
behaviour diff lot phone call using ipadlaptop notsomuch mobile internet sxsw,,1
barry diller think ipad content nut mention sxsw mention link mention,ipad,0
really need another big social network right thanks sxsw google link,google product service,2
q u think google check offer testing sxsw link smccolumbus,,1
japan docomo introduced mobile apps six year apple came app store jpmobilesummit sxsw,apple,0
time apple store sxsw open pulling ipad trigger,,1
sxsw dont forget come privacybootcamp startup mention mention mention mention link,,1
sxsw dont forget come privacybootcamp startup mention mention mention mention acc abc cst,,1
bad dont button rt mention know sxsw time abnormal amount app update iphone,,1
web devs dont wait line ipad sxsw signup new relic using promo sxsw eligible win one link,,1
mention download free track sxsw music sampler available mention store today link,,1
mention download free track sxsw music sampler available mention store today link,,1
mention download free track sxsw music sampler available mention store today link fb,,1
mention downloadfree track sxsw music sampler available mention link green lady killer,,1
guess drew bigger crowd sxsw mention chimp could work iphone sorry mention,,1
jeez guy dunno apple popup gold gym u realize unjobsaesthetic sxsw apple,apple,0
anyone else using hashable network sxsw week trying android version,,1
